Neighborhoods,Year Built,Years Vacant
The Ville,1891,7
Near North Riverfront,1885,18
Visitation Park,1906,9
O'Fallon,1897,5
O'Fallon,1915,2
The Ville,1906,1
The Ville,1886,4
The Ville,1927,12
Covenant Blu-Grand Center,1888,9
Fountain Park,1896,5
West End,1905,2
Hamilton Heights,1907,7
West End,1901,8
Penrose,1923,9
Vandeventer,1893,10
Tower Grove South,1907,10
Academy,1905,11
Botanical Heights,1957,3
Greater Ville,1888,8
Vandeventer,1947,9
Walnut Park East,1914,3
Wells Goodfellow,1908,4
Fairground Neighborhood,1899,6
The Ville,1907,13
Walnut Park West,1937,5
Greater Ville,1872,5
Patch,1897,5
Academy,1901,18
Hamilton Heights,1896,3
West End,1897,8
West End,1899,11
West End,1905,24
Lewis Place,1890,13
West End,1897,12
Academy,1895,16
Academy,1897,9
Academy,1898,9
Academy,1901,24
Greater Ville,1902,5
College Hill,1890,1
Greater Ville,1892,9
Fountain Park,1892,9
Mark Twain,1901,23
Baden,1927,12
The Ville,1947,1
The Ville,1890,9
The Ville,1893,4
Covenant Blu-Grand Center,1884,7
Fountain Park,1902,6
Lewis Place,1891,7
Wells Goodfellow,1927,2
Hamilton Heights,1910,19
Academy,1900,5
The Ville,1891,8
Walnut Park East,1922,1
Greater Ville,1897,4
Vandeventer,1892,10
Vandeventer,1892,10
Penrose,1908,4
Wells Goodfellow,1905,8
The Ville,1888,5
The Ville,1888,4
Fairground Neighborhood,1887,9
Fairground Neighborhood,1888,11
Benton Park,1890,2
Benton Park West,1890,1
Benton Park West,1894,10
Covenant Blu-Grand Center,1891,2
Jeff Vanderlou,1892,6
Jeff Vanderlou,1922,4
Fairground Neighborhood,1904,6
College Hill,1890,22
College Hill,1895,11
Dutchtown,1922,7
Dutchtown,1924,3
Mount Pleasant,1908,6
Mount Pleasant,1908,3
Mount Pleasant,1907,1
College Hill,1906,4
O'Fallon,1910,2
O'Fallon,1912,6
O'Fallon,1906,2
Carondelet,1902,16
Greater Ville,1906,11
Greater Ville,1906,5
The Ville,1926,2
The Ville,1890,11
Greater Ville,1911,4
Greater Ville,1905,3
Vandeventer,1895,3
Vandeventer,1899,3
Fountain Park,1889,4
Fountain Park,1906,5
Fountain Park,1892,6
Wells Goodfellow,1906,2
Hamilton Heights,1902,2
O'Fallon,1916,4
Greater Ville,1911,2
Hamilton Heights,1906,2
Hamilton Heights,1909,2
Hamilton Heights,1914,2
Hamilton Heights,1909,2
Penrose,1924,1
Penrose,1930,1
Penrose,1916,2
Penrose,1952,2
Kingsway East,1925,7
Kingsway East,1923,3
Wells Goodfellow,1916,21
Wells Goodfellow,1911,3
Wells Goodfellow,1909,6
Wells Goodfellow,1926,2
Lewis Place,1920,5
Wells Goodfellow,1924,4
O'Fallon,1911,1
Kingsway East,1901,4
O'Fallon,1913,2
Forest Park South East,1906,6
Tower Grove South,1913,6
Mark Twain,1940,2
Forest Park South East,1897,3
Walnut Park East,1950,13
Greater Ville,1908,1
Baden,1902,6
Wells Goodfellow,1960,12
Baden,1924,1
Hamilton Heights,1911,1
Mark Twain,1910,2
Mark Twain,1912,10
Walnut Park West,1916,10
Walnut Park West,1962,18
Walnut Park West,1947,3
Mark Twain,1923,15
Wells Goodfellow,1911,3
Walnut Park East,1925,2
Mark Twain I-70 Industrial,1946,1
Mark Twain,1928,5
Mark Twain,1928,7
Walnut Park West,1929,1
Walnut Park West,1925,10
Wells Goodfellow,1925,4
Fairground Neighborhood,1972,6
Baden,1900,1
Walnut Park West,1948,1
Penrose,1908,7
Wells Goodfellow,1892,14
Kingsway West,1891,1
Mark Twain,1928,8
Mark Twain,1908,1
Mark Twain,1908,8
Walnut Park East,1904,2
Walnut Park East,1900,5
Walnut Park East,1920,1
Wells Goodfellow,1906,4
Wells Goodfellow,1913,7
Walnut Park East,1921,5
Walnut Park East,1909,3
Walnut Park East,1958,3
Walnut Park East,1959,2
Walnut Park East,1927,3
Walnut Park West,1908,11
Walnut Park West,1958,7
Walnut Park West,1926,4
Baden,1911,3
Baden,1949,1
Baden,1949,1
Baden,1907,6
Baden,1908,4
Walnut Park East,1923,7
Walnut Park East,1926,14
Mark Twain,1911,14
Mark Twain,1912,2
Baden,1904,10
Mark Twain,1922,2
Dutchtown,1901,2
Mount Pleasant,1910,1
Mount Pleasant,1924,2
Dutchtown,1925,2
Carondelet,1907,9
Carondelet,1890,7
O'Fallon,1893,11
O'Fallon,1893,11
Penrose,1925,2
Greater Ville,1906,5
Greater Ville,1921,2
Hamilton Heights,1904,4
Hamilton Heights,1903,2
Hamilton Heights,1906,3
West End,1904,2
West End,1904,2
Penrose,1909,2
Penrose,1911,8
Penrose,1895,2
Penrose,1937,1
O'Fallon,1915,5
Greater Ville,1906,6
Greater Ville,1925,5
Greater Ville,1925,2
Wells Goodfellow,1925,1
Botanical Heights,1908,10
O'Fallon,1913,2
O'Fallon,1924,5
Lewis Place,1924,4
Walnut Park East,1907,1
Walnut Park East,1917,1
Baden,1946,6
Walnut Park East,1912,5
Mark Twain,1926,3
Baden,1947,1
The Ville,1883,1
Walnut Park West,1952,4
Mark Twain,1915,4
Walnut Park East,1906,2
Walnut Park East,1905,2
Baden,1950,1
Walnut Park East,1921,2
Baden,1950,3
Hyde Park,1899,8
Dutchtown,1894,1
The Ville,1871,5
The Ville,1891,9
Lewis Place,1894,6
Lewis Place,1903,1
Kingsway East,1891,21
Kingsway East,1896,5
Hamilton Heights,1904,2
Hamilton Heights,1904,3
West End,1904,4
Greater Ville,1892,5
Hamilton Heights,1895,3
West End,1909,6
Hamilton Heights,1905,2
Central West End,1892,10
Forest Park South East,1884,13
Baden,1910,7
Penrose,1936,2
Penrose,1936,5
Penrose,1928,1
Kingsway East,1897,2
Kingsway East,1895,6
Kingsway East,1890,4
Kingsway East,1890,5
Kingsway East,1897,7
Kingsway East,1910,7
Academy,1898,3
West End,1910,6
Baden,1905,5
Penrose,1896,1
O'Fallon,1892,9
Franz Park,1911,2
Wells Goodfellow,1904,15
Walnut Park West,1908,13
Mark Twain,1923,16
Walnut Park East,1945,2
Walnut Park East,1900,3
O'Fallon,1915,7
Hamilton Heights,1904,3
Southwest Garden,1898,5
Academy,1904,5
Walnut Park East,1929,8
Penrose,1906,12
O'Fallon,1885,1
Penrose,1953,2
Jeff Vanderlou,1885,6
Wells Goodfellow,1911,4
Walnut Park East,1950,9
Hyde Park,1914,5
Hyde Park,1899,13
College Hill,1886,2
Penrose,1923,9
O'Fallon,1913,2
O'Fallon,1912,2
Jeff Vanderlou,1906,4
Greater Ville,1908,1
Greater Ville,1906,8
Greater Ville,1895,8
Greater Ville,1908,5
Greater Ville,1892,3
Greater Ville,1911,6
Fountain Park,1892,1
Fountain Park,1911,5
Hamilton Heights,1906,3
West End,1906,1
Hamilton Heights,1904,2
Hamilton Heights,1913,2
Penrose,1927,2
Greater Ville,1910,1
Kingsway East,1935,4
Greater Ville,1914,8
Kingsway West,1923,2
Wells Goodfellow,1907,4
Wells Goodfellow,1922,3
Wells Goodfellow,1926,1
Wells Goodfellow,1914,1
Kingsway West,1910,1
Baden,1904,6
Walnut Park East,1911,2
Walnut Park West,1914,3
Penrose,1910,2
Mark Twain,1926,1
Mount Pleasant,1904,2
Greater Ville,1996,4
Hamilton Heights,2000,8
Tower Grove South,1894,5
Wells Goodfellow,1905,2
Baden,1920,1
Clayton-Tamm,1900,3
O'Fallon,1881,1
Mark Twain,1903,4
Mark Twain,1908,2
Wells Goodfellow,1926,1
Wells Goodfellow,1925,8
Walnut Park West,1927,7
Walnut Park East,1940,1
Penrose,1907,7
Walnut Park East,1909,2
Baden,1900,3
Fox Park,1884,24
Dutchtown,1916,8
Baden,1926,6
Penrose,1887,18
Penrose,1921,7
Mark Twain,1940,1
Walnut Park East,1915,1
Wells Goodfellow,1910,3
Walnut Park West,1951,4
Walnut Park West,1928,4
O'Fallon,1903,2
Greater Ville,1895,8
Academy,1896,5
Hamilton Heights,1889,2
West End,1905,5
Baden,1929,1
Academy,1892,5
Greater Ville,1889,2
Baden,1896,1
Walnut Park East,1908,1
Baden,1939,4
Penrose,1896,2
Baden,1903,1
Kingsway East,1885,4
Wells Goodfellow,1952,21
Greater Ville,1903,1
Greater Ville,1892,9
The Ville,1883,2
Fairground Neighborhood,1883,21
Jeff Vanderlou,1904,6
West End,1894,9
Fairground Neighborhood,1898,11
O'Fallon,1911,5
College Hill,1883,6
Jeff Vanderlou,1900,5
The Ville,1889,8
Greater Ville,1922,21
Greater Ville,1906,5
The Ville,1924,7
The Ville,1909,7
The Ville,1913,7
The Ville,1900,14
The Ville,1924,15
The Ville,1913,9
Greater Ville,1905,12
Greater Ville,1895,6
Vandeventer,1887,11
Vandeventer,1884,18
Vandeventer,1894,15
Fountain Park,1904,9
Lewis Place,1907,3
Academy,1892,5
Greater Ville,1911,5
Lewis Place,1906,11
Hamilton Heights,1909,2
West End,1907,10
Forest Park South East,1911,6
Forest Park South East,1896,6
Greater Ville,1922,7
Wells Goodfellow,1927,8
Wells Goodfellow,1904,20
Lewis Place,1896,23
Vandeventer,1898,13
West End,1908,10
Wells Goodfellow,1909,8
Wells Goodfellow,1914,9
Wells Goodfellow,1922,10
Wells Goodfellow,1968,10
Wells Goodfellow,1927,16
Wells Goodfellow,1912,24
Hamilton Heights,1906,8
Hamilton Heights,1908,2
Wells Goodfellow,1924,14
Mark Twain I-70 Industrial,1925,18
Greater Ville,1906,8
Greater Ville,1908,9
Wells Goodfellow,1917,10
Forest Park South East,1893,7
Academy,1899,9
Greater Ville,1906,5
Wells Goodfellow,1926,7
Benton Park,1870,3
Fairground Neighborhood,1895,26
Mount Pleasant,1896,5
Academy,1901,3
Greater Ville,1901,15
Fountain Park,1904,9
Fountain Park,1893,10
Fountain Park,1895,5
Academy,1896,21
Academy,1896,21
Academy,1899,14
Academy,1899,5
Vandeventer,1896,24
Hamilton Heights,1907,22
Hamilton Heights,1905,12
Greater Ville,1904,20
Lewis Place,1889,6
Academy,1898,9
Academy,1896,8
Academy,1905,5
Academy,1894,13
Wells Goodfellow,1908,10
Academy,1899,8
Jeff Vanderlou,1902,27
Fox Park,1898,12
Hyde Park,1902,25
Greater Ville,1925,22
Jeff Vanderlou,1909,6
Greater Ville,1904,20
The Ville,1906,16
The Ville,1894,11
Greater Ville,1900,11
Vandeventer,1899,4
Fountain Park,1890,8
Lewis Place,1892,4
Lewis Place,1891,5
Academy,1894,11
Hamilton Heights,1907,3
Vandeventer,1885,9
Hamilton Heights,1908,2
O'Fallon,1902,9
Wells Goodfellow,1908,8
Academy,1898,9
Academy,1902,9
Academy,1904,9
Wells Goodfellow,1914,13
Jeff Vanderlou,1907,15
Jeff Vanderlou,1907,15
Wells Goodfellow,1926,8
Wells Goodfellow,1926,8
Greater Ville,1909,6
Wells Goodfellow,1908,7
Greater Ville,1897,8
The Ville,1902,7
Academy,1892,5
Academy,1901,7
Hamilton Heights,1901,9
Hamilton Heights,1894,15
West End,1911,16
West End,1897,14
Academy,1897,9
Academy,1906,8
West End,1882,11
Dutchtown,1902,5
Hamilton Heights,1905,10
Penrose,1906,11
Hyde Park,1924,13
Hyde Park,1925,12
Hyde Park,1925,12
Dutchtown,1906,7
Gravois Park,1916,13
Gravois Park,1910,11
Fairground Neighborhood,1884,10
Fairground Neighborhood,1887,6
Fox Park,1908,11
Hyde Park,1912,13
Hyde Park,1890,24
Hyde Park,1913,10
College Hill,1895,11
College Hill,1895,11
College Hill,1845,7
College Hill,1853,9
College Hill,1875,28
Fairground Neighborhood,1887,13
Fairground Neighborhood,1894,28
Fairground Neighborhood,1909,13
Marine Villa,1926,5
Dutchtown,1903,4
Mount Pleasant,1902,9
Dutchtown,1909,6
College Hill,1911,17
College Hill,1911,17
Fairground Neighborhood,1906,23
O'Fallon,1910,5
O'Fallon,1886,2
O'Fallon,1928,8
O'Fallon,1911,2
O'Fallon,1912,1
O'Fallon,1911,14
Fox Park,1884,26
Hyde Park,1913,12
O'Fallon,1912,10
O'Fallon,1907,7
O'Fallon,1900,7
Greater Ville,1908,8
Greater Ville,1908,3
Kingsway East,1889,19
Hamilton Heights,1895,2
Hamilton Heights,1907,7
Greater Ville,1906,4
West End,1908,6
Hamilton Heights,1909,8
Hamilton Heights,1909,2
Hamilton Heights,1929,13
Hamilton Heights,1906,4
Hamilton Heights,1910,2
Hamilton Heights,1908,2
Hamilton Heights,1924,3
Hamilton Heights,1914,3
Forest Park South East,1892,8
Baden,1939,9
Penrose,1923,4
Penrose,1923,7
Penrose,1915,9
Penrose,1922,2
Penrose,1927,2
Penrose,1927,4
Penrose,1952,7
O'Fallon,1907,13
O'Fallon,1916,7
Greater Ville,1919,16
Greater Ville,1914,6
Greater Ville,1925,18
Kingsway East,1893,8
Kingsway West,1911,1
Kingsway West,1907,4
Kingsway West,1906,5
Wells Goodfellow,1908,2
Wells Goodfellow,1908,2
Wells Goodfellow,1906,3
Wells Goodfellow,1906,5
Tower Grove South,1923,5
Penrose,1928,8
Kingsway East,1925,5
Wells Goodfellow,1914,3
O'Fallon,1910,16
Wells Goodfellow,1906,4
Wells Goodfellow,1920,8
Walnut Park East,1927,9
Walnut Park East,1919,5
Greater Ville,1908,5
Greater Ville,1908,7
Jeff Vanderlou,1915,25
Wells Goodfellow,1928,10
Wells Goodfellow,1928,9
Wells Goodfellow,1928,9
Wells Goodfellow,1924,14
Wells Goodfellow,1923,4
Wells Goodfellow,1911,3
Baden,1904,3
Baden,1897,16
Baden,1928,5
Walnut Park East,1928,2
Walnut Park East,1939,2
Walnut Park West,1911,9
Walnut Park West,1932,5
Walnut Park West,1937,4
Walnut Park West,1924,4
Baden,1913,4
Penrose,1939,2
Mark Twain,1922,7
Walnut Park West,1951,4
Walnut Park East,1956,3
Walnut Park East,1922,2
Walnut Park East,1922,3
Walnut Park East,1949,11
Mark Twain,1930,5
Mark Twain,1960,10
Baden,1946,7
Wells Goodfellow,1906,7
Mark Twain,1923,9
Mark Twain,1922,8
Walnut Park West,1929,5
Walnut Park West,1926,4
Walnut Park West,1924,10
Walnut Park West,1915,11
Walnut Park West,1928,5
Walnut Park West,1929,4
Walnut Park West,1913,11
Penrose,1904,5
Kingsway West,1906,10
Mark Twain,1908,5
Walnut Park East,1906,2
Walnut Park East,1916,10
Wells Goodfellow,1905,9
Baden,1909,4
Walnut Park East,1909,10
Walnut Park West,1928,5
Walnut Park West,1928,10
Walnut Park West,1927,7
Walnut Park East,1907,12
Baden,1955,1
Mark Twain,1910,8
Bevo Mill,1921,8
Walnut Park West,1926,11
Walnut Park West,1925,12
Bevo Mill,1925,9
Wells Goodfellow,1909,15
Baden,1910,5
Forest Park South East,1889,7
Kingsway East,1925,5
Gravois Park,1914,11
Gravois Park,1909,8
Fairground Neighborhood,1885,4
Benton Park West,1888,22
Hyde Park,1910,21
Hyde Park,1890,20
Hyde Park,1915,12
Fairground Neighborhood,1919,6
Mount Pleasant,1925,5
Carondelet,1908,13
The Ville,1906,3
Greater Ville,1896,12
Baden,1927,6
Baden,1942,3
Penrose,1926,8
Kingsway East,1914,19
Kingsway East,1913,5
Kingsway West,1923,4
Lewis Place,1916,9
Mark Twain,1913,8
Greater Ville,1912,5
Walnut Park West,1925,11
Botanical Heights,1921,18
Walnut Park East,1949,2
Walnut Park East,1922,5
Walnut Park East,1907,3
Mark Twain,1906,7
Baden,1907,9
Walnut Park West,1924,10
Walnut Park West,1927,9
Walnut Park West,1928,14
Walnut Park West,1926,10
Walnut Park East,1924,2
Baden,1900,13
Mark Twain,1923,3
Benton Park,1890,7
Fairground Neighborhood,1901,8
Fairground Neighborhood,1892,7
Fairground Neighborhood,1894,10
Tower Grove East,1884,9
College Hill,1901,17
College Hill,1901,17
O'Fallon,1901,17
O'Fallon,1910,15
O'Fallon,1911,9
O'Fallon,1895,15
Greater Ville,1897,10
Fountain Park,1892,5
West End,1898,5
Forest Park South East,1884,7
Penrose,1915,2
Wells Goodfellow,1919,7
Southwest Garden,1891,4
Forest Park South East,1891,6
Lewis Place,1906,7
Mark Twain,1922,7
Jeff Vanderlou,1905,11
Jeff Vanderlou,1901,6
Jeff Vanderlou,1909,19
Greater Ville,1894,10
Walnut Park West,1941,7
Mount Pleasant,1890,2
O'Fallon,1902,7
Walnut Park East,1909,15
Baden,1922,6
Benton Park,1885,11
College Hill,1895,27
Mount Pleasant,1890,5
Baden,1926,3
Penrose,1909,13
Penrose,1884,8
Penrose,1929,1
Vandeventer,1895,7
Mark Twain,1924,8
Jeff Vanderlou,1907,6
North Pointe,1931,11
Mark Twain,1906,8
Jeff Vanderlou,2003,19
Benton Park West,1925,10
Benton Park West,1895,2
Mount Pleasant,1911,3
College Hill,1922,19
College Hill,1907,3
Fairground Neighborhood,1895,8
O'Fallon,1900,5
O'Fallon,1911,12
O'Fallon,1912,7
Greater Ville,1908,15
The Ville,1902,11
The Ville,1891,10
Greater Ville,1909,5
Hamilton Heights,1904,10
Baden,1931,9
Penrose,1890,11
Penrose,1890,11
Penrose,1928,16
Penrose,1915,8
Penrose,1924,7
O'Fallon,1913,5
Greater Ville,1910,8
Greater Ville,1928,5
Wells Goodfellow,1911,27
Baden,1903,5
Wells Goodfellow,1955,2
Walnut Park East,1914,10
Walnut Park West,1929,6
Walnut Park East,1926,9
Mark Twain,1912,8
Walnut Park East,1914,3
Wells Goodfellow,1909,7
Baden,1903,7
Mark Twain,1908,5
Mark Twain,1965,9
Walnut Park East,1923,3
Baden,1915,9
Walnut Park East,1922,10
Greater Ville,1890,25
Greater Ville,1929,8
Lewis Place,1890,6
Academy,1905,3
Penrose,1913,2
Penrose,1900,9
Penrose,1953,16
Greater Ville,1912,8
Kingsway East,1904,5
Mark Twain,1931,8
Walnut Park West,1926,3
Mark Twain,1925,4
Baden,1934,6
Baden,1923,5
Fairground Neighborhood,1891,11
Academy,1894,4
Visitation Park,1883,7
Penrose,1933,11
Kingsway East,1891,7
Greater Ville,1914,2
Walnut Park East,1900,12
Kingsway East,1912,2
Greater Ville,1905,16
Benton Park West,1893,7
O'Fallon,1892,2
The Ville,1902,1
West End,1905,11
West End,1906,7
Soulard,1885,26
Forest Park South East,1905,6
Walnut Park West,1925,12
College Hill,1907,9
Mount Pleasant,1906,7
Dutchtown,1913,5
Botanical Heights,1924,2
Lewis Place,1897,4
Walnut Park East,1947,2
West End,1905,7
West End,1905,7
Marine Villa,1907,9
Mount Pleasant,1891,3
Clayton-Tamm,1880,4
Hamilton Heights,1908,5
Academy,1899,18
Wells Goodfellow,1904,11
The Gate District,1897,11
West End,1905,19
Academy,1894,11
Visitation Park,1896,12
West End,1890,1
West End,1906,5
Benton Park West,1912,12
Benton Park,1881,13
Dutchtown,1905,6
Penrose,1940,7
Hamilton Heights,1905,8
Hamilton Heights,1909,2
Forest Park South East,1922,14
Forest Park South East,1908,8
Forest Park South East,1908,8
Baden,1928,3
Tower Grove South,1915,5
College Hill,1884,2
Dutchtown,1893,5
Forest Park South East,1926,4
Baden,1927,9
Benton Park West,1925,7
Forest Park South East,1896,15
Bevo Mill,1925,4
Lewis Place,1911,5
Hyde Park,1890,11
O'Fallon,1913,2
Hamilton Heights,1906,2
Greater Ville,1885,4
Academy,1892,9
Greater Ville,1906,11
Hamilton Heights,1901,22
O'Fallon,1907,8
O'Fallon,1893,15
Penrose,1907,2
Jeff Vanderlou,1973,9
Fairground Neighborhood,1904,11
The Gate District,1889,4
Central West End,1892,28
Walnut Park West,1936,13
The Hill,1923,16
The Ville,1900,24
Academy,1905,15
O'Fallon,1915,9
Forest Park South East,1895,5
Walnut Park East,1919,5
Mark Twain,1914,2
Walnut Park East,1959,12
Patch,1893,11
Walnut Park West,1931,3
Tower Grove South,1915,4
Academy,1899,11
Walnut Park West,1950,22
Vandeventer,1884,12
Wells Goodfellow,1890,21
Vandeventer,1903,16
Vandeventer,1897,11
Wells Goodfellow,1912,13
O'Fallon,1965,4
West End,1896,8
West End,1896,12
West End,1901,24
West End,1907,28
West End,1902,11
West End,1905,22
Academy,1904,8
Academy,1904,8
O'Fallon,1916,20
West End,1900,27
Academy,1890,9
Academy,1896,8
Dutchtown,1909,10
Fairground Neighborhood,1906,8
West End,1924,14
Shaw,1906,12
Forest Park South East,1910,10
Forest Park South East,1893,8
Forest Park South East,1905,11
Forest Park South East,1895,15
Kings Oak,1923,6
Tower Grove South,1921,6
Gravois Park,1891,8
The Ville,1884,8
Wells Goodfellow,1908,17
Walnut Park West,1910,6
Baden,1913,10
Hyde Park,1883,13
West End,1902,14
Academy,1897,11
Fairground Neighborhood,1898,9
Jeff Vanderlou,1903,11
Forest Park South East,1908,10
Dutchtown,1910,13
Baden,1908,9
Mark Twain,1930,14
Penrose,1926,10
Walnut Park East,1950,1
Baden,1908,4
Walnut Park East,1927,9
Academy,1896,9
Central West End,1904,6
Skinker DeBaliviere,1908,6
O'Fallon,1910,14
Fountain Park,1892,8
Benton Park,1928,5
Forest Park South East,1915,14
Forest Park South East,1891,8
Vandeventer,1894,26
Baden,1939,11
Penrose,1929,2
Mount Pleasant,1888,2
The Ville,1885,11
Hamilton Heights,1909,10
Wells Goodfellow,1909,4
Greater Ville,1910,1
Wells Goodfellow,1903,9
The Ville,1929,3
Greater Ville,1891,6
Fountain Park,1906,10
Penrose,1894,7
O'Fallon,1912,5
Wells Goodfellow,1903,2
West End,1892,3
Wells Goodfellow,1908,1
Kingsway East,1922,7
Wells Goodfellow,1911,8
Walnut Park West,1931,5
Walnut Park East,1908,2
O'Fallon,1923,2
Greater Ville,1910,2
Walnut Park West,1930,4
Hyde Park,1894,4
West End,1895,1
Walnut Park East,1917,3
Baden,1939,1
Greater Ville,1916,6
Greater Ville,1908,7
Greater Ville,1894,7
Dutchtown,1910,7
Academy,1898,11
Benton Park West,1897,6
Jeff Vanderlou,1905,6
Fairground Neighborhood,1910,13
Greater Ville,1895,22
Academy,1904,4
West End,1908,7
Penrose,1941,5
Penrose,1927,2
Vandeventer,1892,4
Walnut Park West,1925,9
Baden,1934,5
Penrose,1929,2
Carondelet,1892,10
Kingsway East,1908,4
Botanical Heights,1921,10
Kingsway East,1907,5
Walnut Park East,1910,2
Vandeventer,1893,4
Mark Twain,1921,4
Mount Pleasant,1900,17
Mount Pleasant,1893,3
Walnut Park West,1914,3
North Pointe,1925,8
Tiffany,1914,3
Carondelet,1924,4
Walnut Park East,1925,2
Walnut Park East,1950,3
Walnut Park East,1922,2
Baden,1907,18
Wells Goodfellow,1895,2
Hamilton Heights,1904,1
Hamilton Heights,1904,20
Baden,1955,4
Kingsway West,1926,6
Wells Goodfellow,1906,12
Kingsway East,1906,12
Walnut Park East,1909,7
Walnut Park East,1922,2
Walnut Park East,1908,3
Penrose,1893,7
Walnut Park West,1925,3
O'Fallon,1914,2
Vandeventer,1893,13
Baden,1928,3
Baden,1925,9
Benton Park,1880,4
Wells Goodfellow,1929,17
The Ville,1902,12
O'Fallon,1906,12
Greater Ville,1906,10
The Ville,1927,19
Vandeventer,1893,8
Lewis Place,1903,9
Lewis Place,1905,8
Academy,1890,5
Academy,1893,9
Academy,1892,9
Hamilton Heights,1905,17
Hamilton Heights,1905,2
Hamilton Heights,1903,5
Hamilton Heights,1908,10
West End,1904,8
Academy,1901,12
Jeff Vanderlou,1908,11
Wells Goodfellow,1925,10
Hamilton Heights,1909,6
Wells Goodfellow,1929,15
Walnut Park East,1950,29
Forest Park South East,1897,4
Fairground Neighborhood,1895,1
Wells Goodfellow,1925,9
O'Fallon,1910,20
The Ville,1893,7
Academy,1894,16
West End,1895,10
The Ville,1884,6
St. Louis Place,1888,24
St. Louis Place,1895,6
O'Fallon,1908,19
Fountain Park,1890,12
Kingsway West,1924,4
Greater Ville,1908,8
Wells Goodfellow,1917,8
Carondelet,1960,4
Wells Goodfellow,1919,13
Walnut Park East,1928,10
Walnut Park East,1906,15
Fairground Neighborhood,1928,12
St. Louis Place,1887,6
Jeff Vanderlou,1908,20
Dutchtown,1924,5
Fairground Neighborhood,1889,6
College Hill,1910,23
College Hill,1913,8
College Hill,1913,8
Fairground Neighborhood,1900,11
O'Fallon,1915,8
O'Fallon,1913,2
O'Fallon,1916,9
O'Fallon,1916,9
Jeff Vanderlou,1910,6
Vandeventer,1884,5
Hamilton Heights,1910,2
Hamilton Heights,1908,1
Forest Park South East,1909,14
Tower Grove South,1893,2
Penrose,1908,2
Penrose,1925,13
Penrose,1925,13
Penrose,1883,2
Kingsway East,1904,8
Greater Ville,1913,5
Greater Ville,1892,14
Kingsway East,1910,19
Wells Goodfellow,1926,5
Lewis Place,1916,5
Wells Goodfellow,1910,7
Forest Park South East,1888,14
Walnut Park East,1929,18
Kingsway West,1924,9
Baden,1915,11
Walnut Park West,1949,17
Mark Twain,1926,13
Mark Twain I-70 Industrial,1930,14
St. Louis Place,1972,6
Mount Pleasant,1900,14
Greater Ville,1883,6
Hamilton Heights,1999,6
Walnut Park East,1901,13
Mark Twain,1973,2
Fairground Neighborhood,1899,19
Fairground Neighborhood,1899,19
Fairground Neighborhood,1899,5
Walnut Park East,1915,2
Walnut Park East,1929,3
Kingsway West,1925,7
Penrose,1906,12
Franz Park,1928,4
Wells Goodfellow,1895,9
Baden,1897,9
Walnut Park East,1912,5
North Pointe,1928,2
Walnut Park West,1926,11
Kingsway East,1925,16
College Hill,1922,11
The Ville,1899,5
Fountain Park,1901,4
Hamilton Heights,1908,10
Kingsway East,1891,7
Greater Ville,1909,9
Kingsway West,1906,9
Penrose,1926,13
Greater Ville,1904,14
Walnut Park East,1909,3
Mount Pleasant,1911,5
O'Fallon,1908,2
Fountain Park,1895,7
Lewis Place,1891,6
O'Fallon,1892,14
Greater Ville,1925,8
Greater Ville,1906,4
Hyde Park,1913,14
Mount Pleasant,1927,6
Fox Park,1913,6
Fountain Park,1904,6
Lafayette Square,1896,9
Central West End,1892,11
Walnut Park East,1910,1
West End,1908,5
O'Fallon,1910,22
O'Fallon,1910,22
O'Fallon,1891,17
O'Fallon,1891,17
Patch,1892,11
The Ville,1900,28
Greater Ville,1897,15
Vandeventer,1890,15
Academy,1896,5
Visitation Park,1901,13
Lewis Place,1891,5
Academy,1897,14
Vandeventer,1893,22
Visitation Park,1902,17
Academy,1894,8
Academy,1901,11
Central West End,1891,25
Covenant Blu-Grand Center,1892,13
Carondelet,1908,13
Fairground Neighborhood,1909,10
Vandeventer,1905,11
Walnut Park East,1900,24
Walnut Park East,1900,24
Kingsway West,1910,12
Walnut Park West,1922,14
O'Fallon,1911,14
Forest Park South East,1883,10
Forest Park South East,1903,14
Benton Park,1890,1
Greater Ville,1893,6
Patch,1892,5
Fairground Neighborhood,1900,15
Penrose,1905,2
Wells Goodfellow,1923,4
The Ville,1884,5
Wells Goodfellow,1905,2
Fox Park,1884,11
Mount Pleasant,1892,3
Hamilton Heights,1903,18
Academy,1905,7
Academy,1900,12
O'Fallon,1904,6
O'Fallon,1895,11
The Ville,1883,6
Vandeventer,1928,5
Walnut Park East,1908,20
Fountain Park,1900,5
Greater Ville,1908,8
Mark Twain,1921,4
Penrose,1914,7
Kingsway East,1913,7
Baden,1914,9
Walnut Park West,1923,9
Academy,1901,8
Dutchtown,1902,2
Greater Ville,1859,0
West End,1923,5
West End,1923,5
Greater Ville,1909,0
Walnut Park East,1948,0
Dutchtown,1895,14
Jeff Vanderlou,1889,0
Dutchtown,1890,0
O'Fallon,1908,0
Greater Ville,1907,0
Greater Ville,1890,0
Greater Ville,1893,0
West End,1906,0
Greater Ville,1914,0
Greater Ville,1906,0
Kingsway East,1908,0
Kingsway East,1917,0
Kingsway West,1920,1
Wells Goodfellow,1907,0
Walnut Park East,1922,0
Walnut Park East,1912,0
Walnut Park East,1916,0
Walnut Park West,1955,2
Fairground Neighborhood,1896,0
Hamilton Heights,1906,0
Baden,1907,5
