GSID,Name,Type,GradeRange,Enrollment,Gsrating,ParentRating,City,State,DistrictId,District,DistrictNCESID,Address,Phone,fax,Website,ncesid,Lat,Long,OverviewLink,RatingLink,ReviewLink,SchoolStatLink,
3218,Gateway/Hubert Wheeler School,public,K-12,33,,,Saint Louis,MO,538,Mo Schls For The Sev Disabled School District,2900022,"100 South Garrison Avenue, \nSaint Louis, MO  63103",(314) 340-5902,,http://www.dese.mo.gov/divspeced/stateschools/,290002203074,38.631565,-90.22264,https://www.greatschools.org/missouri/saint-louis/3218-Gateway-Hubert-Wheeler-School/?utm_source=GSAPI&amp;utm_medium=referral,https://www.greatschools.org/missouri/saint-louis/3218-Gateway-Hubert-Wheeler-School/?utm_source=GSAPI&amp;utm_medium=referral,https://www.greatschools.org/missouri/saint-louis/3218-Gateway-Hubert-Wheeler-School/?utm_source=GSAPI&amp;utm_medium=referral#Reviews,https://www.greatschools.org/missouri/saint-louis/3218-Gateway-Hubert-Wheeler-School/?utm_source=GSAPI&amp;utm_medium=referral,</school><school>
1673,Gibson Elementary School,public,K-5,413,1,4,Saint Louis,MO,408,Riverview Gardens School District,2926670,"9926 Fonda Drive, \nSaint Louis, MO  63137",(314) 869-4845,(314) 388-6032,http://rgsd.k12.mo.us/,292667000726,38.748943,-90.23245,https://www.greatschools.org/missouri/saint-louis/1673-Gibson-Elementary-School/?utm_source=GSAPI&amp;utm_medium=referral,https://www.greatschools.org/missouri/saint-louis/1673-Gibson-Elementary-School/?utm_source=GSAPI&amp;utm_medium=referral,https://www.greatschools.org/missouri/saint-louis/1673-Gibson-Elementary-School/?utm_source=GSAPI&amp;utm_medium=referral#Reviews,https://www.greatschools.org/missouri/saint-louis/1673-Gibson-Elementary-School/?utm_source=GSAPI&amp;utm_medium=referral,</school><school>
1675,Glasgow Elementary School,public,K-5,337,1,4,Saint Louis,MO,408,Riverview Gardens School District,2926670,"10560 Renfrew Drive, \nSaint Louis, MO  63137",(314) 868-4680,(314) 388-6034,http://glasgowelem.mo.rge.schoolinsites.com/,292667001579,38.758724,-90.20586,https://www.greatschools.org/missouri/saint-louis/1675-Glasgow-Elementary-School/?utm_source=GSAPI&amp;utm_medium=referral,https://www.greatschools.org/missouri/saint-louis/1675-Glasgow-Elementary-School/?utm_source=GSAPI&amp;utm_medium=referral,https://www.greatschools.org/missouri/saint-louis/1675-Glasgow-Elementary-School/?utm_source=GSAPI&amp;utm_medium=referral#Reviews,https://www.greatschools.org/missouri/saint-louis/1675-Glasgow-Elementary-School/?utm_source=GSAPI&amp;utm_medium=referral,</school><school>
733,Grannemann Elementary School,public,PK-5,422,2,3,Saint Louis,MO,194,Hazelwood School District,2913830,"2324 Redman Road, \nSaint Louis, MO  63136",(314) 953-4250,(314) 953-4263,http://www.hazelwoodschools.org/,291383000621,38.781548,-90.24311,https://www.greatschools.org/missouri/saint-louis/733-Grannemann-Elementary-School/?utm_source=GSAPI&amp;utm_medium=referral,https://www.greatschools.org/missouri/saint-louis/733-Grannemann-Elementary-School/?utm_source=GSAPI&amp;utm_medium=referral,https://www.greatschools.org/missouri/saint-louis/733-Grannemann-Elementary-School/?utm_source=GSAPI&amp;utm_medium=referral#Reviews,https://www.greatschools.org/missouri/saint-louis/733-Grannemann-Elementary-School/?utm_source=GSAPI&amp;utm_medium=referral,</school><school>
2272,Green Tree Elementary School,public,K-5,645,8,4,Lake Saint Louis,MO,512,Wentzville R-IV School District,2931650,"1000 Ronald Reagan Drive, \nLake Saint Louis, MO  63367",(636) 625-5600,(636) 625-5610,http://wentzville.k12.mo.us/course/view.php?id=15,293165002110,38.78037,-90.78025,https://www.greatschools.org/missouri/lake-saint-louis/2272-Green-Tree-Elementary-School/?utm_source=GSAPI&amp;utm_medium=referral,https://www.greatschools.org/missouri/lake-saint-louis/2272-Green-Tree-Elementary-School/?utm_source=GSAPI&amp;utm_medium=referral,https://www.greatschools.org/missouri/lake-saint-louis/2272-Green-Tree-Elementary-School/?utm_source=GSAPI&amp;utm_medium=referral#Reviews,https://www.greatschools.org/missouri/lake-saint-louis/2272-Green-Tree-Elementary-School/?utm_source=GSAPI&amp;utm_medium=referral,</school><school>
1210,Hagemann Elementary School,public,K-5,303,5,4,Saint Louis,MO,294,Mehlville R-Ix School District,2920670,"6401 Hagemann Road, \nSaint Louis, MO  63128",(314) 467-5700,(314) 467-5799,,292067001097,38.46943,-90.39874,https://www.greatschools.org/missouri/saint-louis/1210-Hagemann-Elementary-School/?utm_source=GSAPI&amp;utm_medium=referral,https://www.greatschools.org/missouri/saint-louis/1210-Hagemann-Elementary-School/?utm_source=GSAPI&amp;utm_medium=referral,https://www.greatschools.org/missouri/saint-louis/1210-Hagemann-Elementary-School/?utm_source=GSAPI&amp;utm_medium=referral#Reviews,https://www.greatschools.org/missouri/saint-louis/1210-Hagemann-Elementary-School/?utm_source=GSAPI&amp;utm_medium=referral,</school><school>
2020,Hamilton Elementary Community Ed.,public,PK-5,332,4,4,Saint Louis,MO,458,St. Louis City School District,2929280,"4160 North Kingshighway Boulevard, \nSaint Louis, MO  63115",(314) 367-0552,(314) 367-2392,,292928001937,38.68098,-90.2477,https://www.greatschools.org/missouri/saint-louis/2020-Hamilton-Elementary-Community-Ed./?utm_source=GSAPI&amp;utm_medium=referral,https://www.greatschools.org/missouri/saint-louis/2020-Hamilton-Elementary-Community-Ed./?utm_source=GSAPI&amp;utm_medium=referral,https://www.greatschools.org/missouri/saint-louis/2020-Hamilton-Elementary-Community-Ed./?utm_source=GSAPI&amp;utm_medium=referral#Reviews,https://www.greatschools.org/missouri/saint-louis/2020-Hamilton-Elementary-Community-Ed./?utm_source=GSAPI&amp;utm_medium=referral,</school><school>
697,Hancock Place Elementary School,public,PK-5,720,9,3,Saint Louis,MO,187,Hancock Place School District,2913620,"9101 South Broadway, \nSaint Louis, MO  63125",(314) 544-1300,(314) 544-4931,http://www.hancock.k12.mo.us,291362000584,38.53724,-90.27323,https://www.greatschools.org/missouri/saint-louis/697-Hancock-Place-Elementary-School/?utm_source=GSAPI&amp;utm_medium=referral,https://www.greatschools.org/missouri/saint-louis/697-Hancock-Place-Elementary-School/?utm_source=GSAPI&amp;utm_medium=referral,https://www.greatschools.org/missouri/saint-louis/697-Hancock-Place-Elementary-School/?utm_source=GSAPI&amp;utm_medium=referral#Reviews,https://www.greatschools.org/missouri/saint-louis/697-Hancock-Place-Elementary-School/?utm_source=GSAPI&amp;utm_medium=referral,</school><school>
2022,Henry Elementary School,public,PK-6,240,1,5,Saint Louis,MO,458,St. Louis City School District,2929280,"1220 North 10th Street, \nSaint Louis, MO  63106",(314) 231-7284,(314) 231-0232,,292928001942,38.63718,-90.191284,https://www.greatschools.org/missouri/saint-louis/2022-Henry-Elementary-School/?utm_source=GSAPI&amp;utm_medium=referral,https://www.greatschools.org/missouri/saint-louis/2022-Henry-Elementary-School/?utm_source=GSAPI&amp;utm_medium=referral,https://www.greatschools.org/missouri/saint-louis/2022-Henry-Elementary-School/?utm_source=GSAPI&amp;utm_medium=referral#Reviews,https://www.greatschools.org/missouri/saint-louis/2022-Henry-Elementary-School/?utm_source=GSAPI&amp;utm_medium=referral,</school><school>
2023,Herzog Elementary School,public,PK-6,335,1,3,Saint Louis,MO,458,St. Louis City School District,2929280,"5831 Pamplin Avenue, \nSaint Louis, MO  63147",(314) 385-2212,(314) 385-1925,,292928001943,38.71114,-90.25221,https://www.greatschools.org/missouri/saint-louis/2023-Herzog-Elementary-School/?utm_source=GSAPI&amp;utm_medium=referral,https://www.greatschools.org/missouri/saint-louis/2023-Herzog-Elementary-School/?utm_source=GSAPI&amp;utm_medium=referral,https://www.greatschools.org/missouri/saint-louis/2023-Herzog-Elementary-School/?utm_source=GSAPI&amp;utm_medium=referral#Reviews,https://www.greatschools.org/missouri/saint-louis/2023-Herzog-Elementary-School/?utm_source=GSAPI&amp;utm_medium=referral,</school><school>
1976,Hickey Elementary School,public,PK-5,185,1,5,Saint Louis,MO,458,St. Louis City School District,2929280,"3111 Cora Avenue, \nSaint Louis, MO  63115",(314) 383-2550,(314) 383-5164,http://www.slps.org/,292928000444,38.669193,-90.24521,https://www.greatschools.org/missouri/saint-louis/1976-Hickey-Elementary-School/?utm_source=GSAPI&amp;utm_medium=referral,https://www.greatschools.org/missouri/saint-louis/1976-Hickey-Elementary-School/?utm_source=GSAPI&amp;utm_medium=referral,https://www.greatschools.org/missouri/saint-louis/1976-Hickey-Elementary-School/?utm_source=GSAPI&amp;utm_medium=referral#Reviews,https://www.greatschools.org/missouri/saint-louis/1976-Hickey-Elementary-School/?utm_source=GSAPI&amp;utm_medium=referral,</school><school>
1682,Highland Elementary School,public,K-5,344,1,3,Saint Louis,MO,408,Riverview Gardens School District,2926670,"174 Shepley Drive, \nSaint Louis, MO  63137",(314) 868-4561,(314) 388-6036,http://highlandelem.mo.rge.schoolinsites.com/,292667002627,38.754894,-90.19729,https://www.greatschools.org/missouri/saint-louis/1682-Highland-Elementary-School/?utm_source=GSAPI&amp;utm_medium=referral,https://www.greatschools.org/missouri/saint-louis/1682-Highland-Elementary-School/?utm_source=GSAPI&amp;utm_medium=referral,https://www.greatschools.org/missouri/saint-louis/1682-Highland-Elementary-School/?utm_source=GSAPI&amp;utm_medium=referral#Reviews,https://www.greatschools.org/missouri/saint-louis/1682-Highland-Elementary-School/?utm_source=GSAPI&amp;utm_medium=referral,</school><school>
2067,Hodgen Elementary School,public,PK-6,263,1,3,Saint Louis,MO,458,St. Louis City School District,2929280,"1616 California Avenue, \nSaint Louis, MO  63104",(314) 771-2539,(314) 771-2418,http://www.slps.org/Domain/866,292928002170,38.616604,-90.22454,https://www.greatschools.org/missouri/saint-louis/2067-Hodgen-Elementary-School/?utm_source=GSAPI&amp;utm_medium=referral,https://www.greatschools.org/missouri/saint-louis/2067-Hodgen-Elementary-School/?utm_source=GSAPI&amp;utm_medium=referral,https://www.greatschools.org/missouri/saint-louis/2067-Hodgen-Elementary-School/?utm_source=GSAPI&amp;utm_medium=referral#Reviews,https://www.greatschools.org/missouri/saint-louis/2067-Hodgen-Elementary-School/?utm_source=GSAPI&amp;utm_medium=referral,</school><school>
2259,Hudson Elementary School,public,K-5,225,4,5,Saint Louis,MO,508,Webster Groves School District,2931530,"9825 Hudson Avenue, \nSaint Louis, MO  63119",(314) 963-6466,(314) 963-6478,,293153002417,38.609886,-90.37343,https://www.greatschools.org/missouri/saint-louis/2259-Hudson-Elementary-School/?utm_source=GSAPI&amp;utm_medium=referral,https://www.greatschools.org/missouri/saint-louis/2259-Hudson-Elementary-School/?utm_source=GSAPI&amp;utm_medium=referral,https://www.greatschools.org/missouri/saint-louis/2259-Hudson-Elementary-School/?utm_source=GSAPI&amp;utm_medium=referral#Reviews,https://www.greatschools.org/missouri/saint-louis/2259-Hudson-Elementary-School/?utm_source=GSAPI&amp;utm_medium=referral,</school><school>
5596,Humboldt Academy Of Higher Lrning,public,3-5,262,3,1,Saint Louis,MO,458,St. Louis City School District,2929280,"2516 South 9th Street, \nSaint Louis, MO  63104",(314) 932-5720,,,292928003193,38.601093,-90.20738,https://www.greatschools.org/missouri/saint-louis/5596-Humboldt-Academy-Of-Higher-Lrning/?utm_source=GSAPI&amp;utm_medium=referral,https://www.greatschools.org/missouri/saint-louis/5596-Humboldt-Academy-Of-Higher-Lrning/?utm_source=GSAPI&amp;utm_medium=referral,https://www.greatschools.org/missouri/saint-louis/5596-Humboldt-Academy-Of-Higher-Lrning/?utm_source=GSAPI&amp;utm_medium=referral#Reviews,https://www.greatschools.org/missouri/saint-louis/5596-Humboldt-Academy-Of-Higher-Lrning/?utm_source=GSAPI&amp;utm_medium=referral,</school><school>
1665,Iveland Elementary School,public,K-5,536,2,4,Saint Louis,MO,407,Ritenour School District,2926640,"1836 Dyer Avenue, \nSaint Louis, MO  63114",(314) 493-6330,(314) 429-6721,http://www.ritenourschools.org,292664001568,38.693336,-90.38321,https://www.greatschools.org/missouri/saint-louis/1665-Iveland-Elementary-School/?utm_source=GSAPI&amp;utm_medium=referral,https://www.greatschools.org/missouri/saint-louis/1665-Iveland-Elementary-School/?utm_source=GSAPI&amp;utm_medium=referral,https://www.greatschools.org/missouri/saint-louis/1665-Iveland-Elementary-School/?utm_source=GSAPI&amp;utm_medium=referral#Reviews,https://www.greatschools.org/missouri/saint-louis/1665-Iveland-Elementary-School/?utm_source=GSAPI&amp;utm_medium=referral,</school><school>
1343,Jefferson Elementary School,public,1-6,222,3,5,Saint Louis,MO,334,Normandy School District,2922650,"4315 Cardwell Drive, \nSaint Louis, MO  63121",(314) 493-0100,(314) 493-0110,http://www.normandysd.org,292265001243,38.709976,-90.29433,https://www.greatschools.org/missouri/saint-louis/1343-Jefferson-Elementary-School/?utm_source=GSAPI&amp;utm_medium=referral,https://www.greatschools.org/missouri/saint-louis/1343-Jefferson-Elementary-School/?utm_source=GSAPI&amp;utm_medium=referral,https://www.greatschools.org/missouri/saint-louis/1343-Jefferson-Elementary-School/?utm_source=GSAPI&amp;utm_medium=referral#Reviews,https://www.greatschools.org/missouri/saint-louis/1343-Jefferson-Elementary-School/?utm_source=GSAPI&amp;utm_medium=referral,</school><school>
2025,Jefferson Elementary School,public,PK-5,250,1,2,Saint Louis,MO,458,St. Louis City School District,2929280,"1301 Hogan Street, \nSaint Louis, MO  63106",(314) 231-2459,(314) 231-2905,http://www.slps.org/Jefferson,292928001950,38.640762,-90.20344,https://www.greatschools.org/missouri/saint-louis/2025-Jefferson-Elementary-School/?utm_source=GSAPI&amp;utm_medium=referral,https://www.greatschools.org/missouri/saint-louis/2025-Jefferson-Elementary-School/?utm_source=GSAPI&amp;utm_medium=referral,https://www.greatschools.org/missouri/saint-louis/2025-Jefferson-Elementary-School/?utm_source=GSAPI&amp;utm_medium=referral#Reviews,https://www.greatschools.org/missouri/saint-louis/2025-Jefferson-Elementary-School/?utm_source=GSAPI&amp;utm_medium=referral,</school><school>
728,Keeven Elementary School,public,PK-5,395,3,2,Saint Louis,MO,194,Hazelwood School District,2913830,"11230 Old Halls Ferry Road, \nSaint Louis, MO  63136",(314) 953-4450,(314) 953-4463,,291383000614,38.77765,-90.26349,https://www.greatschools.org/missouri/saint-louis/728-Keeven-Elementary-School/?utm_source=GSAPI&amp;utm_medium=referral,https://www.greatschools.org/missouri/saint-louis/728-Keeven-Elementary-School/?utm_source=GSAPI&amp;utm_medium=referral,https://www.greatschools.org/missouri/saint-louis/728-Keeven-Elementary-School/?utm_source=GSAPI&amp;utm_medium=referral#Reviews,https://www.greatschools.org/missouri/saint-louis/728-Keeven-Elementary-School/?utm_source=GSAPI&amp;utm_medium=referral,</school><school>
2082,Kennard/Classical Jr. Academy,public,PK-5,346,10,5,Saint Louis,MO,458,St. Louis City School District,2929280,"5031 Potomac Street, \nSaint Louis, MO  63139",(314) 353-8875,(314) 351-0441</,,,,,,,,,
1676,Koch Elementary School,public,K-5,334,1,3,Saint Louis,MO,408,Riverview Gardens School District,2926670,"1910 Exuma Drive, \nSaint Louis, MO  63136",(314) 868-3029,(314) 388-6038,http://kochelem.mo.rge.schoolinsites.com/,292667001581,38.742023,-90.264336,https://www.greatschools.org/missouri/saint-louis/1676-Koch-Elementary-School/?utm_source=GSAPI&amp;utm_medium=referral,https://www.greatschools.org/missouri/saint-louis/1676-Koch-Elementary-School/?utm_source=GSAPI&amp;utm_medium=referral,https://www.greatschools.org/missouri/saint-louis/1676-Koch-Elementary-School/?utm_source=GSAPI&amp;utm_medium=referral#Reviews,https://www.greatschools.org/missouri/saint-louis/1676-Koch-Elementary-School/?utm_source=GSAPI&amp;utm_medium=referral,</school><school>
1666,Kratz Elementary School,public,K-5,535,3,4,Saint Louis,MO,407,Ritenour School District,2926640,"4301 Edmundson Road, \nSaint Louis, MO  63134",(314) 493-6360,(314) 429-6735,http://www.ritenourschools.org,292664001569,38.731583,-90.36592,https://www.greatschools.org/missouri/saint-louis/1666-Kratz-Elementary-School/?utm_source=GSAPI&amp;utm_medium=referral,https://www.greatschools.org/missouri/saint-louis/1666-Kratz-Elementary-School/?utm_source=GSAPI&amp;utm_medium=referral,https://www.greatschools.org/missouri/saint-louis/1666-Kratz-Elementary-School/?utm_source=GSAPI&amp;utm_medium=referral#Reviews,https://www.greatschools.org/missouri/saint-louis/1666-Kratz-Elementary-School/?utm_source=GSAPI&amp;utm_medium=referral,</school><school>
2028,Laclede Elementary School,public,PK-5,237,1,,Saint Louis,MO,458,St. Louis City School District,2929280,"5821 Kennerly Avenue, \nSaint Louis, MO  63112",(314) 385-0546,(314) 385-7294,,292928001955,38.677307,-90.27654,https://www.greatschools.org/missouri/saint-louis/2028-Laclede-Elementary-School/?utm_source=GSAPI&amp;utm_medium=referral,https://www.greatschools.org/missouri/saint-louis/2028-Laclede-Elementary-School/?utm_source=GSAPI&amp;utm_medium=referral,https://www.greatschools.org/missouri/saint-louis/2028-Laclede-Elementary-School/?utm_source=GSAPI&amp;utm_medium=referral#Reviews,https://www.greatschools.org/missouri/saint-louis/2028-Laclede-Elementary-School/?utm_source=GSAPI&amp;utm_medium=referral,</school><school>
741,Larimore Elementary School,public,PK-5,410,2,3,Saint Louis,MO,194,Hazelwood School District,2913830,"1025 Trampe Avenue, \nSaint Louis, MO  63138",(314) 953-4500,(314) 953-4513,,291383000630,38.78959,-90.1978,https://www.greatschools.org/missouri/saint-louis/741-Larimore-Elementary-School/?utm_source=GSAPI&amp;utm_medium=referral,https://www.greatschools.org/missouri/saint-louis/741-Larimore-Elementary-School/?utm_source=GSAPI&amp;utm_medium=referral,https://www.greatschools.org/missouri/saint-louis/741-Larimore-Elementary-School/?utm_source=GSAPI&amp;utm_medium=referral#Reviews,https://www.greatschools.org/missouri/saint-louis/741-Larimore-Elementary-School/?utm_source=GSAPI&amp;utm_medium=referral,</school><school>
1677,Lemasters Elementary School,public,K-5,335,2,3,Saint Louis,MO,408,Riverview Gardens School District,2926670,"1825 Crown Point Drive, \nSaint Louis, MO  63136",(314) 868-8192,(314) 388-6040,http://www.rgsd.k12.mo.us/,292667001582,38.75737,-90.269264,https://www.greatschools.org/missouri/saint-louis/1677-Lemasters-Elementary-School/?utm_source=GSAPI&amp;utm_medium=referral,https://www.greatschools.org/missouri/saint-louis/1677-Lemasters-Elementary-School/?utm_source=GSAPI&amp;utm_medium=referral,https://www.greatschools.org/missouri/saint-louis/1677-Lemasters-Elementary-School/?utm_source=GSAPI&amp;utm_medium=referral#Reviews,https://www.greatschools.org/missouri/saint-louis/1677-Lemasters-Elementary-School/?utm_source=GSAPI&amp;utm_medium=referral,</school><school>
1678,Lewis And Clark Elementary School,public,K-5,206,3,5,Saint Louis,MO,408,Riverview Gardens School District,2926670,"10242 Prince Drive, \nSaint Louis, MO  63136",(314) 868-5205,(314) 388-6042,,292667001583,38.75702,-90.2425,https://www.greatschools.org/missouri/saint-louis/1678-Lewis-And-Clark-Elementary-School/?utm_source=GSAPI&amp;utm_medium=referral,https://www.greatschools.org/missouri/saint-louis/1678-Lewis-And-Clark-Elementary-School/?utm_source=GSAPI&amp;utm_medium=referral,https://www.greatschools.org/missouri/saint-louis/1678-Lewis-And-Clark-Elementary-School/?utm_source=GSAPI&amp;utm_medium=referral#Reviews,https://www.greatschools.org/missouri/saint-louis/1678-Lewis-And-Clark-Elementary-School/?utm_source=GSAPI&amp;utm_medium=referral,</school><school>
2031,Lexington Elementary School,public,PK-5,379,2,5,Saint Louis,MO,458,St. Louis City School District,2929280,"5030 Lexington Avenue, \nSaint Louis, MO  63115",(314) 385-2522,(314) 385-4158,http://www.slps.org/,292928001958,38.674397,-90.25492,https://www.greatschools.org/missouri/saint-louis/2031-Lexington-Elementary-School/?utm_source=GSAPI&amp;utm_medium=referral,https://www.greatschools.org/missouri/saint-louis/2031-Lexington-Elementary-School/?utm_source=GSAPI&amp;utm_medium=referral,https://www.greatschools.org/missouri/saint-louis/2031-Lexington-Elementary-School/?utm_source=GSAPI&amp;utm_medium=referral#Reviews,https://www.greatschools.org/missouri/saint-louis/2031-Lexington-Elementary-School/?utm_source=GSAPI&amp;utm_medium=referral,</school><school>
1687,Litzsinger,public,K-8,104,1,,Saint Louis,MO,409,Specl. Sch. Dst. St. Louis County School District,2926760,"10094 Litzsinger Road, \nSaint Louis, MO  63124",(314) 989-8800,(314) 989-8804,,292676001599,38.624683,-90.404594,https://www.greatschools.org/missouri/saint-louis/1687-Litzsinger/?utm_source=GSAPI&amp;utm_medium=referral,https://www.greatschools.org/missouri/saint-louis/1687-Litzsinger/?utm_source=GSAPI&amp;utm_medium=referral,https://www.greatschools.org/missouri/saint-louis/1687-Litzsinger/?utm_source=GSAPI&amp;utm_medium=referral#Reviews,https://www.greatschools.org/missouri/saint-louis/1687-Litzsinger/?utm_source=GSAPI&amp;utm_medium=referral,</school><school>
1123,Long Elementary School,public,K-5,647,8,4,Saint Louis,MO,265,Lindbergh Schools,2918690,"9021 Sappington Road, \nSaint Louis, MO  63126",(314) 729-2450,(314) 729-2452,http://go.lindberghschools.ws/Domain/14,291869001022,38.546383,-90.381256,https://www.greatschools.org/missouri/saint-louis/1123-Long-Elementary-School/?utm_source=GSAPI&amp;utm_medium=referral,https://www.greatschools.org/missouri/saint-louis/1123-Long-Elementary-School/?utm_source=GSAPI&amp;utm_medium=referral,https://www.greatschools.org/missouri/saint-louis/1123-Long-Elementary-School/?utm_source=GSAPI&amp;utm_medium=referral#Reviews,https://www.greatschools.org/missouri/saint-louis/1123-Long-Elementary-School/?utm_source=GSAPI&amp;utm_medium=referral,</school><school>
3049,Lucas Crossing Elementary Complex,public,1-6,812,1,2,Saint Louis,MO,334,Normandy School District,2922650,"7837 Natural Bridge Road, \nSaint Louis, MO  63121",(314) 493-0200,(314) 493-0297,http://www.normandysd.org,292265002850,38.708103,-90.30619,https://www.greatschools.org/missouri/saint-louis/3049-Lucas-Crossing-Elementary-Complex/?utm_source=GSAPI&amp;utm_medium=referral,https://www.greatschools.org/missouri/saint-louis/3049-Lucas-Crossing-Elementary-Complex/?utm_source=GSAPI&amp;utm_medium=referral,https://www.greatschools.org/missouri/saint-louis/3049-Lucas-Crossing-Elementary-Complex/?utm_source=GSAPI&amp;utm_medium=referral#Reviews,https://www.greatschools.org/missouri/saint-louis/3049-Lucas-Crossing-Elementary-Complex/?utm_source=GSAPI&amp;utm_medium=referral,</school><school>
2069,Lyon At Blow Elementary School,public,PK-8,400,1,3,Saint Louis,MO,458,St. Louis City School District,2929280,"516 Loughborough Avenue, \nSaint Louis, MO  63111",(314) 353-1353,(314) 481-8625,,292928002403,38.55494,-90.256905,https://www.greatschools.org/missouri/saint-louis/2069-Lyon-At-Blow-Elementary-School/?utm_source=GSAPI&amp;utm_medium=referral,https://www.greatschools.org/missouri/saint-louis/2069-Lyon-At-Blow-Elementary-School/?utm_source=GSAPI&amp;utm_medium=referral,https://www.greatschools.org/missouri/saint-louis/2069-Lyon-At-Blow-Elementary-School/?utm_source=GSAPI&amp;utm_medium=referral#Reviews,https://www.greatschools.org/missouri/saint-louis/2069-Lyon-At-Blow-Elementary-School/?utm_source=GSAPI&amp;utm_medium=referral,</school><school>
2034,Mallinckrodt A.G.I. Elementary School,public,PK-5,275,10,4,Saint Louis,MO,458,St. Louis City School District,2929280,"6020 Pernod Avenue, \nSaint Louis, MO  63139",(314) 352-9212,(314) 352-3142,http://www.slps.org/Page/4192,292928001967,38.59635,-90.293816,https://www.greatschools.org/missouri/saint-louis/2034-Mallinckrodt-A.G.I.-Elementary-School/?utm_source=GSAPI&amp;utm_medium=referral,https://www.greatschools.org/missouri/saint-louis/2034-Mallinckrodt-A.G.I.-Elementary-School/?utm_source=GSAPI&amp;utm_medium=referral,https://www.greatschools.org/missouri/saint-louis/2034-Mallinckrodt-A.G.I.-Elementary-School/?utm_source=GSAPI&amp;utm_medium=referral#Reviews,https://www.greatschools.org/missouri/saint-louis/2034-Mallinckrodt-A.G.I.-Elementary-School/?utm_source=GSAPI&amp;utm_medium=referral,</school><school>
2035,Mann Elementary School,public,PK-6,292,3,3,Saint Louis,MO,458,St. Louis City School District,2929280,"4047 Juniata Street, \nSaint Louis, MO  63116",(314) 772-4545,(314) 772-6348,http://www.slps.org,292928001968,38.60221,-90.25442,https://www.greatschools.org/missouri/saint-louis/2035-Mann-Elementary-School/?utm_source=GSAPI&amp;utm_medium=referral,https://www.greatschools.org/missouri/saint-louis/2035-Mann-Elementary-School/?utm_source=GSAPI&amp;utm_medium=referral,https://www.greatschools.org/missouri/saint-louis/2035-Mann-Elementary-School/?utm_source=GSAPI&amp;utm_medium=referral#Reviews,https://www.greatschools.org/missouri/saint-louis/2035-Mann-Elementary-School/?utm_source=GSAPI&amp;utm_medium=referral,</school><school>
1668,Marvin Elementary School,public,K-5,694,3,3,Saint Louis,MO,407,Ritenour School District,2926640,"3510 Woodson Road, \nSaint Louis, MO  63114",(314) 493-6430,(314) 429-6737,http://www.ritenourschools.org,292664001571,38.717064,-90.358635,https://www.greatschools.org/missouri/saint-louis/1668-Marvin-Elementary-School/?utm_source=GSAPI&amp;utm_medium=referral,https://www.greatschools.org/missouri/saint-louis/1668-Marvin-Elementary-School/?utm_source=GSAPI&amp;utm_medium=referral,https://www.greatschools.org/missouri/saint-louis/1668-Marvin-Elementary-School/?utm_source=GSAPI&amp;utm_medium=referral#Reviews,https://www.greatschools.org/missouri/saint-louis/1668-Marvin-Elementary-School/?utm_source=GSAPI&amp;utm_medium=referral,</school><school>
2016,Mason Elementary School,public,PK-6,479,8,4,Saint Louis,MO,458,St. Louis City School District,2929280,"6031 Southwest Avenue, \nSaint Louis, MO  63139",(314) 645-1201,(314) 645-0884,http://www.slps.org/Domain/1139,292928001930,38.610863,-90.290245,https://www.greatschools.org/missouri/saint-louis/2016-Mason-Elementary-School/?utm_source=GSAPI&amp;utm_medium=referral,https://www.greatschools.org/missouri/saint-louis/2016-Mason-Elementary-School/?utm_source=GSAPI&amp;utm_medium=referral,https://www.greatschools.org/missouri/saint-louis/2016-Mason-Elementary-School/?utm_source=GSAPI&amp;utm_medium=referral#Reviews,https://www.greatschools.org/missouri/saint-louis/2016-Mason-Elementary-School/?utm_source=GSAPI&amp;utm_medium=referral,</school><school>
1495,Mason Ridge Elementary School,public,PK-5,431,8,4,Saint Louis,MO,364,Parkway C-2 School District,2923580,"715 South Mason Road, \nSaint Louis, MO  63141",(314) 415-6450,(314) 415-6462,http://www.parkwayschools.net,292358001390,38.63719,-90.48181,https://www.greatschools.org/missouri/saint-louis/1495-Mason-Ridge-Elementary-School/?utm_source=GSAPI&amp;utm_medium=referral,https://www.greatschools.org/missouri/saint-louis/1495-Mason-Ridge-Elementary-School/?utm_source=GSAPI&amp;utm_medium=referral,https://www.greatschools.org/missouri/saint-louis/1495-Mason-Ridge-Elementary-School/?utm_source=GSAPI&amp;utm_medium=referral#Reviews,https://www.greatschools.org/missouri/saint-louis/1495-Mason-Ridge-Elementary-School/?utm_source=GSAPI&amp;utm_medium=referral,</school><school>
1679,Meadows Elementary School,public,K-5,308,3,2,Saint Louis,MO,408,Riverview Gardens School District,2926670,"9801 Edgefield Drive, \nSaint Louis, MO  63136",(314) 868-2454,(314) 388-6044,http://www.rgsd.k12.mo.us/,292667001584,38.74682,-90.25148,https://www.greatschools.org/missouri/saint-louis/1679-Meadows-Elementary-School/?utm_source=GSAPI&amp;utm_medium=referral,https://www.greatschools.org/missouri/saint-louis/1679-Meadows-Elementary-School/?utm_source=GSAPI&amp;utm_medium=referral,https://www.greatschools.org/missouri/saint-louis/1679-Meadows-Elementary-School/?utm_source=GSAPI&amp;utm_medium=referral#Reviews,https://www.greatschools.org/missouri/saint-louis/1679-Meadows-Elementary-School/?utm_source=GSAPI&amp;utm_medium=referral,</school><school>
